Name;LO;Tune;Mode;SrateOut;LoCut;HiCut
CALIBRATE IAMBIC -10%;34999990;35009990;CW;96000;528;672
CALIBRATE IAMBIC -2%;34999994;35009994;CW;96000;528;672
CALIBRATE IAMBIC -4%;34999993;35009993;CW;96000;528;672
CALIBRATE IAMBIC -6%;34999992;35009992;CW;96000;528;672
CALIBRATE IAMBIC -8%;34999991;35009991;CW;96000;528;672
CALIBRATE IAMBIC +10%;34999910;35009910;CW;96000;528;672
CALIBRATE IAMBIC +2%;34999996;35009996;CW;96000;528;672
CALIBRATE IAMBIC +4%;34999997;35009997;CW;96000;528;672
CALIBRATE IAMBIC +6%;34999998;35009998;CW;96000;528;672
CALIBRATE IAMBIC +8%;34999999;35009999;CW;96000;528;672
CALIBRATE IAMBIC DEFAULT;34999995;35009995;CW;96000;528;672
CW HOLD TIME - DEFAULT;34777776;34787776;CW;96000;438;762
CW HOLD TIME -10%;34777775;34787775;CW;96000;438;762
CW HOLD TIME -20%;34777774;34787774;CW;96000;438;762
CW HOLD TIME -30%;34777773;34787773;CW;96000;438;762
CW HOLD TIME +10%;34777777;34787777;CW;96000;438;762
CW HOLD TIME +20%;34777778;34787778;CW;96000;438;762
CW HOLD TIME +30%;34777779;34787779;CW;96000;438;762
IAMBIC BUG;34444442;34454442;CW;96000;528;672
IAMBIC IAMBIC;34444441;34454441;CW;96000;528;672
IAMBIC MODE OFF;33999992;34009992;CW;96000;528;672
IAMBIC MODE ON;33999991;34009991;CW;96000;528;672
IAMBIC ULTIMATIC;34444444;34454444;CW;96000;528;672
KEYING WEIGHT 0.30;34222220;34232220;CW;96000;528;672
KEYING WEIGHT 0.35;34222221;34232221;CW;96000;528;672
KEYING WEIGHT 0.40;34222222;34232222;CW;96000;528;672
KEYING WEIGHT 0.45;34222223;34232223;CW;96000;528;672
KEYING WEIGHT 0.50;34222224;34232224;CW;96000;528;672
KEYING WEIGHT 0.55;34222225;34232225;CW;96000;528;672
KEYING WEIGHT 0.60;34222226;34232226;CW;96000;528;672
KEYING WEIGHT 0.65;34222227;34232227;CW;96000;528;672
KEYING WEIGHT 0.70;34222228;34232228;CW;96000;528;672
MEMORY TYPE A;34444445;34454445;CW;96000;528;672
MEMORY TYPE B;34444448;34454448;CW;96000;528;672
MEMORY TYPE DASH;34444446;34454446;CW;96000;528;672
MEMORY TYPE DIT;34444447;34454447;CW;96000;528;672
PADDLES NORMAL;34333331;34343331;CW;96000;528;672
PADDLES REVERSE;34333332;34343332;CW;96000;528;672
PEABERRY CW MODE OFF;33888888;33898888;CW;96000;528;672
PEABERRY CW MODE ON;33777777;33787777;CW;96000;528;672
RESET - DEFAULTS;33999999;34009999;CW;96000;527;672
SEMI BREAKIN OFF;34777772;34787772;CW;96000;528;672
SEMI BREAKIN ON;34777771;34787771;CW;96000;528;672
SOUND OFF;33999998;34009998;CW;96000;528;672
SOUND ON;33999997;34009997;CW;96000;528;672
SPACING CHARACTER;34555551;34565551;CW;96000;528;672
SPACING ELEMENT;34555552;34565552;CW;96000;528;672
SPACING NONE;34555553;34565553;CW;96000;528;672
SPACING WORD;34555554;34565554;CW;96000;528;672
SPEED 10 WPM;34888882;34888882;CW;96000;528;672
SPEED 13 WPM;34888883;34888883;CW;96000;528;672
SPEED 15 WPM;34888884;34888885;CW;96000;528;672
SPEED 18 WPM;34888885;34888886;CW;96000;528;672
SPEED 20 WPM;34888886;34888887;CW;96000;528;672
SPEED 25 WPM;34888887;34888888;CW;96000;528;672
SPEED 30 WPM;34888888;34888889;CW;96000;528;672
SPEED 35 WPM;34888889;34888890;CW;96000;528;672
SPEED 5 WPM;34888880;34888880;CW;96000;528;672
SPEED 7.5  WPM;34888881;34888881;CW;96000;528;672
SEMI_USE_ATU;34555555;34565555;CW;96000;528;672
SEMI_USE_AMP;34555556;34565556;CW;96000;528;672
